norm_title,description,audience_group,genres,sentiment_score,violence_flag,label
guardian brothers,"[""When a Chinese family ' s soup shop is aim for sabotage by a contender, two guardians from the feeling macrocosm leave retreat to protect them.""]",child,['comedy'],-0.0772,0,1
young offenders,"Never ones to think things through, two Irish teens steal bicycles and set off to the coast to find a bale of cocaine from a smuggler’s capsized ship.",adult,['comedy'],-0.4939,0,0
stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",adult,"['action', 'drama']",-0.1154,0,0
mountain men,"[""Mount World follow men who have devoted their life to come through off the gridiron in some of the country ' s almost unforgiving terrain.""]",child,"['documentary', 'drama']",0.5994,0,1
filmworker,Leon Vitali had a thriving acting career most others would envy. Then he gave it all up to devote himself completely to the vision of Stanley Kubrick.,adult,['documentary'],0.3182,0,0
slam,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk.",adult,"['comedy', 'drama']",0.2732,0,0
ragini mms,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,adult,['horror'],-0.7845,0,0
hope frozen a quest to live twice,"['A Thai scientist and his family decide to cryonically freeze out their cherished, die toddler. This dear documentary postdate their journey.']",child,['documentary'],0.7906,0,1
only the dead,"Given unprecedented access to soldiers and terrorists alike, journalist Michael Ware presents an epic, uncensored, intimate account of the Iraq War.",adult,['documentary'],-0.8402,1,0
sexify,"To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy.",adult,"['comedy', 'drama']",0.8689,0,0
brain games,"This interactive series uses games, illusions and experiments to illustrate how our brains manufacture our reality and often play tricks on us.",child,['documentary'],0.2263,0,1
john mellencamp plain spoken,Iconic rocker John Mellencamp lights up Chicago in an electrifying live performance featuring old classics and new tracks.,adult,['documentary'],0.0,0,0
beyond the mask,"['The chief mercenary for the British Eastern united states India Company has cook his way to the American Colonies. Work to redeem his name, William nowadays hides behind a mask in hopes of thwarting his former employer.']",child,['action'],0.1027,1,1
lorena lightfooted woman,Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.,child,['documentary'],0.0,0,1
kantaro the sweet tooth salaryman,['Elect publishing sale rep Kantaro wraps up his client visits in phonograph recording time so atomic number 2 can secretly pursue his quest to indulge in the tastiest of sweets.'],child,['comedy'],0.4939,0,1
how the beatles changed the world,"[""Interviews and rare archival footage illuminate how the Beatles ' influence over music and acculturation bear on to be felt around the world.""]",child,['documentary'],0.0,0,1
dreamworks home for the holidays,"['Oh takes information technology upon himself to usher in Christmas joy to his fellow Boovs. Unfortunately, his well - mean commission near destroys the city.']",child,['comedy'],-0.296,0,1
world famous lover,"When his frustrated girlfriend decides to leave him, a struggling writer gets down to work on stories of romance he hopes will win her back.",adult,"['drama', 'romance']",0.5859,0,0
road dogz,Carefree days come to an end when three Latino friends face personal crises in Los Angeles.,adult,"['action', 'drama']",0.7003,0,0
carnivorous,"In the countryside, Alan and his friend Becky steal a creepy wooden box with a powerful voodoo stick inside from his voodooistic neighbor.",adult,['horror'],0.4215,0,0
love and friendship,"[""Circle in 1790s Greater london, LOVE AND FRIENDSHIP centers on the recently widowed Lady Susan Vernon (Kate Beckinsale ), who seeks refuge with her in - laws to miss the scandalous rumors surrounding her private liveliness. While at their estate the scheming Lady Susan make up one's mind it ’ s time to secure a husband for herself and for her somewhat reluctant and awkward daughter.""]",child,['drama'],0.6277,1,1
th eena meena deeka chase comedy show,"A hungry fox and three resourceful, surprisingly formidable birds turn the animal kingdom on its head in this lively animated series.",child,['comedy'],0.6783,0,1
devil below,"When a team of researchers tries to find out what started a fire in a coal mine, they quickly discover that the disaster is anything but natural.",adult,['horror'],0.0,0,0
haider,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.,adult,"['drama', 'romance']",0.0,0,0
maroon,"When his wife goes missing, university professor Saurabh remains at home while the police investigate, but his grip on reality loosens as days pass.",adult,['drama'],-0.1531,0,0
pup star,"[""After a singing pup with big pipe dream of stardom catch dognapped and escapes with a friend ' s assist, her journey dwelling cost a fun, music - fill dangerous undertaking.""]",child,['comedy'],0.8885,0,1
kalel 15,"Surrounded by tensions and secrets, a teenage boy searches for validation and navigates life with a dysfunctional family following an HIV diagnosis.",adult,['drama'],-0.4019,0,0
manto,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.,adult,['drama'],-0.7506,0,0
discovering bigfoot,"Follow Todd Standing, Dr. Jeff Meldrum and other researchers into the wilderness, where they try to capture definitive proof of Sasquatch's existence.",adult,['documentary'],0.0,0,0
cinderella story,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,child,['comedy'],0.1027,0,1
monty python before the flying circus,"Discover how six seemingly ordinary but supremely talented men became Monty Python, sketch comedy's revolutionary comedy troupe.",adult,"['comedy', 'documentary']",0.9294,0,0
dragonheart a new beginning,"[""This sequel premise Draco the dragon ' siemens progeny, Drake, world health organization dreams of becoming a horse and team up up with a unchanging son to master his skills.""]",child,"['action', 'sci-fi']",0.5994,1,1
