norm_title,description,genres,audience_group
dick johnson is dead,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",['documentary'],teen
blood water,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",['drama'],adult
ganglands,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",['action'],adult
jailbirds new orleans,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",['documentary'],adult
kota factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","['comedy', 'romance']",adult
midnight mass,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.","['drama', 'horror']",adult
sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",['drama'],adult
starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,"['comedy', 'drama']",teen
vendetta truth lies and the mafia,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",['documentary'],adult
bangkok breaking,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",['action'],adult
je suis karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",['drama'],adult
confessions of an invisible girl,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",['comedy'],child
crime stories india detectives,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,['documentary'],adult
dear white people,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.","['comedy', 'drama']",adult
europes most dangerous man otto skorzeny in spain,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",['documentary'],adult
falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,['drama'],adult
intrusion,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",['thriller'],teen
jaguar,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",['action'],adult
monsters inside the 24 faces of billy milligan,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",['documentary'],teen
resurrection ertugrul,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.","['action', 'drama']",teen
avvai shanmughi,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",['comedy'],child
jeans,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","['comedy', 'romance']",teen
love on the spectrum,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",['documentary'],teen
minsara kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,['comedy'],child
grown ups,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",['comedy'],teen
dark skies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.","['horror', 'sci-fi']",teen
paranoia,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",['thriller'],teen
ankahi kahaniya,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",['drama'],teen
chicago party aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,['comedy'],adult
sex education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",['comedy'],adult
squid game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.","['drama', 'thriller']",adult
father who moves mountains,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.","['drama', 'thriller']",adult
stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.","['action', 'drama']",adult
angry birds,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",['comedy'],child
birth of the dragon,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","['action', 'drama']",teen
heman and the masters of the universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,['sci-fi'],child
jaws,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","['action', 'drama']",child
jaws 2,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","['drama', 'horror', 'thriller']",child
jaws 3,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.","['action', 'horror', 'thriller']",child
jaws the revenge,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.","['action', 'horror', 'thriller']",teen
my heroes were cowboys,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",['documentary'],child
safe house,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,['action'],adult
smart money woman,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.","['comedy', 'romance']",adult
training day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,"['drama', 'thriller']",adult
castle and castle,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",['drama'],adult
dharmakshetra,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.","['drama', 'sci-fi']",child
inuyasha the movie 2 the castle beyond the looking glass,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",['action'],teen
inuyasha the movie 3 swords of an honorable ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,['action'],teen
inuyasha the movie 4 fire on the mystic island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",['action'],child
inuyasha the movie affections touching across time,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",['action'],child
naruto shippuden the movie blood prison,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",['action'],teen
naruto shippûden the movie bonds,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",['action'],child
naruto shippûden the movie the will of fire,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",['action'],child
naruto shippuden the movie,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",['action'],child
naruto shippuden the movie the lost tower,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",['action'],teen
naruto the movie 2 legend of the stone of gelel,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",['action'],child
naruto the movie 3 guardians of the crescent moon kingdom,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",['action'],child
naruto the movie ninja clash in the land of snow,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",['action'],child
