norm_title,description,audience_group,genres,sentiment_score,violence_flag
dark skies,"['A family ’ s idyllic suburban life shatters when an alien force out invades their dwelling, and as they struggle to convince others of the deathly threat.']",teen,"['horror', 'sci-fi']",-0.5719,0
heman and the masters of the universe,['Mighty teen Cristal and his heroic squad of misfits discover the legendary index of Grayskull — and their destiny to defend Eternia from sinister Skeletor.'],child,['sci-fi'],-0.0772,0
dharmakshetra,"[""After the ancient Great War, the supreme being Chitragupta oversees a trial to set world health organization be the engagement ' s true heroes and villain.""]",child,"['drama', 'sci-fi']",0.4588,1
paradise hills,"['Uma wakes up in a lush tropic deftness designed to move around wilful fille into perfect ladies. That ’ s bad enough, but information technology real aim equal even bad.']",adult,"['sci-fi', 'thriller']",-0.6187,0
kid cosmic,"[""A male child ' mho superhero dreams come true when atomic number 2 finds five powerful cosmic stones. But redeem the day is harder than helium imagined — and he can ' t execute information technology only.""]",child,"['comedy', 'sci-fi']",0.6966,0
chappie,"['In a futurist society where an indestructible automaton police force keep criminal offence at bay, a lone droid acquire to the side by side degree of artificial news.']",adult,"['action', 'sci-fi']",-0.2263,1
green lantern,['Trial cowcatcher Hal Hashemite kingdom of jordan tackle glowing new powers for good when he wears an otherworldly mob and helps an intergalactic force stop a powerful scourge.'],teen,"['action', 'sci-fi']",0.4019,0
level 16,"['In a bleak honorary society that teaches girls the virtues of passiveness, two students uncover the ghastly purpose behind their training and decide to escape.']",teen,"['sci-fi', 'thriller']",0.7003,0
mars attacks,"[""As flying saucers head for Earth, the chairwoman of the United States prepares to receive exotic visitors but soon learns they ' re not coming in heartsease.""]",teen,"['comedy', 'sci-fi']",-0.2204,0
kyo kii main jhuth nahin bolta,"[""The life and calling of a attorney be thrown into chaos when his son ' s wish as if by magic render him incompetent of telling a trygve lie.""]",teen,"['comedy', 'sci-fi']",-0.5574,0
manifest,"['When a aeroplane enigmatically land year after takeoff, the the great unwashed onboard return to a earthly concern that has motivate on without them and face strange, new realities.']",teen,"['drama', 'sci-fi']",-0.2023,0
beowulf,"[""This deftly animated take on a legendary Old Side epos say the timeless taradiddle of a Norse submarine sandwich who ' s known for slaying dragon.""]",teen,"['action', 'sci-fi']",0.5574,0
cloudy with a chance of meatballs,"['When inventor Flint river Lockwood makes cloud rain nutrient, the citizens of Chewandswallow can feed themselves. But a bowlful of cataclysm is astir to overflow.']",child,"['comedy', 'sci-fi']",-0.7684,0
deep blue sea,"[""Scientist channel research on sharks in lookup of an Alzheimer ' s cure. Just a dangerous shortcut leads to huge sharks with near - human intelligence.""]",adult,"['action', 'horror', 'sci-fi']",0.4497,0
inception,"[""A troubled thief who extracts secret from people ' s dream take one last job: leading a unsafe deputation to plant an idea in a quarry ' s subconscious.""]",teen,"['action', 'sci-fi', 'thriller']",-0.7783,0
planet 51,"['After set down on a planet reminiscent of fifties suburb, a human astronaut tries to avoid capture, recover his starship and arrive at information technology home safely.']",child,"['comedy', 'sci-fi']",0.25,0
space cowboys,['A retired engineer agrees to help oneself NASA prevent a Russian satellite from light to Earth if atomic number 2 and his terminated - the - hill pal toilet man the mission.'],teen,"['action', 'drama', 'sci-fi']",0.4588,0
charmed,"['After their mother ’ s tragic end, a trio of sister bond over their newfound power, vanquish demons and band together to represent their magical bequest.']",teen,"['drama', 'sci-fi']",-0.7845,1
flash,['A forensics expert who wake from a comatoseness with amazing new powers squares turned against force threatening the city in this unrecorded - action superhero play.'],teen,"['action', 'sci-fi']",0.1027,0
masters of the universe revelation,"['After a fateful engagement fractures Eternia, Teela and an unlikely alliance must preclude the end of the Universe in this sequel to the ’ eighty greco roman.']",child,"['action', 'sci-fi']",-0.3612,0
biohackers,['A aesculapian student enters a top German language university on a undercover mission to uncover a conspiracy connect a menage tragedy to a visionary biology professor.'],adult,"['drama', 'sci-fi']",-0.5574,0
ratchet and clank,"[""Genial extraterrestrial being Rachet longs to embody a Galactic Texas ranger and might get the fortune when varlet robot Clank severalise him of wickedness Drek ' s plot to destroy a galaxy.""]",child,"['comedy', 'sci-fi']",-0.7845,0
colony,"['When LA is infest by outside military force and becomes a walled - in village, a former FBI agent and his married woman danger everything to find their lose son.']",teen,"['action', 'drama', 'sci-fi']",-0.5267,0
new legends of monkey,['A valiant girl liberate the Monkey King – a supreme being long trap in harlan f. stone – in a quest to find seven consecrated curlicue and deliver the world from evil.'],child,"['action', 'sci-fi']",-0.5423,0
winchester,"[""The heiress to a vast firearms fortune constructs a planetary house with a maze - similar department of the interior to guard off the spirits of those killed by her category ' s merchandise.""]",teen,"['horror', 'sci-fi']",-0.6705,1
austin powers the spy who shagged me,"['When infernal ace Dr. Immorality go back in time to slip superspy Austin Ability \' s "" mojo, "" Austin must render to the swingin \' \' 60s himself.']",teen,"['action', 'comedy', 'sci-fi']",-0.8225,0
mortal kombat,['Three fighters travel to the mystic kingdom of Outworld to examine their mightiness in a tournament against an evil demon with plan to take all over the world.'],teen,"['action', 'sci-fi']",-0.6808,1
star trek,"['On their beginning voyage aboard the starship Endeavor, cocky freedom fighter James ii T. Kirk and logic - driven Vulcan Benjamin spock try to vote down a vengeful Romulan air force officer.']",teen,"['action', 'sci-fi']",-0.6124,0
underworld,['A lamia warrior begins to question her mission in the ancient warfare between the undead and werewolves when she falls for a human under her protection.'],adult,"['action', 'horror', 'sci-fi']",-0.5994,1
underworld awakening,"['As the warfare between vampires and Lycans rages on, Selene awakens from a elongated, forced cryogenic eternal sleep to look a harrowing new enemy: human beings.']",adult,"['action', 'horror', 'sci-fi']",-0.926,1
underworld rise of the lycans,"['Seth in the year 1402, this prequel observe Lucian, the first loup garou to take human phase, and chronicle the feud between the vampires and the Lycans.']",adult,"['action', 'horror', 'sci-fi']",-0.34,0
what dreams may come,"[""A physician finds himself in heaven after an fortuity, live the landscape painting of his wife ' s paintings while seeking to rescue her from the infernal region.""]",teen,"['drama', 'romance', 'sci-fi']",0.5423,0
black lightning,['School principal and retired superhero President jefferson Pierce leaps back into action as the legendary Shirley temple Lightning after a gang endanger his family.'],teen,"['action', 'drama', 'sci-fi']",-0.3818,0
vampire academy,"['A half - human, one half - vampire teen moldiness machinate for class and her luck as the protector of mortal lamia against their vicious immortal counterparts.']",teen,"['action', 'comedy', 'sci-fi']",-0.128,0
sweet tooth,"[""On a perilous adventure across a post - apocalyptical human race, a lovable boy world health organization ' s one half - human and half - cervid searches for a raw rootage with a gruff protector.""]",teen,"['action', 'drama', 'sci-fi']",0.743,0
battlefield earth,"['In the class 3000, an alien race known as the Psychlos devastate major planet Ground and force the survive human population into bondage.']",teen,"['action', 'sci-fi']",-0.8271,0
home,"['When misfit alien Oh mistakenly sends a company invite to the entire coltsfoot, he snuff it on the run to void trouble and befriend gamy human girl Hint.']",child,"['comedy', 'sci-fi']",-0.4215,0
jurassic world camp cretaceous,['Half a dozen stripling invited to attend a land - of - the - art risky venture encampment on Isla Nublar must band together to survive when the dinosaurs wear out out of incarceration.'],child,"['action', 'sci-fi']",0.3182,0
sleight,"['Struggling to raise his picayune sister on his ain, a young street magician turns to drug dealing, unaware of how ruthless his provider can follow.']",adult,"['drama', 'sci-fi']",-0.5574,1
love death robots,"['Terrifying creatures, wicked surprisal and dark drollery converge in this NSFW anthology of animated story present by Tim Miller and David Fincher.']",adult,"['action', 'horror', 'sci-fi']",-0.5719,0
mystic river,"['As pregnant women vanish in a outside Nigerien settlement over decade, a doctor with child breakthrough herself extremely close to expose unsafe secret.']",teen,"['horror', 'sci-fi']",-0.4767,0
jupiters legacy,"[""They ' re the beginning generation of superheroes. Only as they pass the flashlight to their children, tensions follow grow — and the old rule no longer apply.""]",adult,"['action', 'sci-fi']",-0.7469,0
stargate,"[""An Egyptologist joins a mission into the unknown when he facilitate the military unlock the enigma of a harlan fiske stone arch that ' s a portal vein to another universe of discourse.""]",teen,"['action', 'sci-fi']",0.3818,0
darkest hour,['Young American english visit Moscow when the city represent turned upside downwards by an foreign invasion and ring unitedly with the locals to fight rearwards.'],teen,"['action', 'sci-fi']",-0.3818,1
lovely bones,"['In the consequence of her murder, fourteen - twelvemonth - old Susie watches from beyond as her loved ones mourn and search for her killer who be shroud in plain sight.']",teen,"['drama', 'sci-fi']",-0.8779,1
battle los angeles,"['Led by their practiced staff sergeant, a platoon of gutsy Leatherneck fights to protect all world from amazingly powerful aliens.']",teen,"['action', 'sci-fi']",0.4019,1
shadow and bone,['Night forces conspire against orphan mapmaker Alina Starkov when she let loose an extraordinary big businessman that could change the fate of her war - lacerate public.'],teen,"['action', 'drama', 'sci-fi']",0.0,1
crimson peak,"['After marrying a mysterious British aristocrat, a unseasoned inheritrix moves into his crumbling, creepy ancestral home and finds information technology conceals sinister arcanum.']",adult,"['horror', 'romance', 'sci-fi']",-0.5994,0
time trap,"[""While searching for their absent archaeology professor, a group of students discovers a cave where clip passes differently than it does on the earth's surface.""]",teen,"['action', 'sci-fi']",-0.296,0
escape from planet earth,"['This all - geezerhood liven clowning follow the adventures of astronaut Scorch Supernova, a hoagy of the blue aliens world health organization has a brobdingnagian appetite for adventure.']",child,"['comedy', 'sci-fi']",0.8689,0
2012,"['When a outpouring of raw disaster begins to demolish the world, a divorced dad urgently attempt to save his family by outrun the cataclysmic chaos.']",teen,"['action', 'sci-fi']",-0.8271,0
kingsglaive final fantasy xv,['King Regis of Lucis orders his Kingsglaive warriors to stop the usa of Niflheim before information technology invade and steals the crystal that gives Lucis it major power.'],teen,"['action', 'sci-fi']",-0.6705,1
starship troopers traitor of mars,"['When a corrupt official programme to sabotage the major planet Mars, it ’ s up to Racketeer influenced and corrupt organizations act and a group of smart recruits to fend off a surprisal hemipteran attack on their own.']",adult,"['action', 'sci-fi']",-0.4767,1
zathura,"['A mystifying secret plan sends ii brothers flying into space, where they must reach the planet Zathura — operating theatre be immobilise in galactic limbo forever.']",child,['sci-fi'],-0.5106,0
monster calls,"['Flood out by his female parent ’ s illness, a young boy begins to read human complexness through the marvelous tales of a consoling tree diagram monster.']",teen,"['drama', 'sci-fi']",0.2732,0
disenchantment,"[""Princess duties call, just she ' d rather embody drinking. Free - bouncy Bean incense the tycoon as she bring mayhem with her demon and elf pals.""]",teen,"['action', 'comedy', 'sci-fi']",-0.7469,0
magicians,"['When grad student Quentin Coldwater enters a college specializing in magic, atomic number 2 teach that the mythologic fantasy world atomic number 2 once read about is very actual.']",adult,"['drama', 'sci-fi']",0.0,0
haunted hathaways,['Single mom Michelle Hathaway and her daughters obtain that they share their New Siege of orleans home with the ghosts of single dad Ray of light Preston and his ii sons.'],child,"['comedy', 'sci-fi']",0.296,0
chilling adventures of sabrina,"[""Illusion and mischief collide as half - human being, one half - witch Sabrina navigate between two worlds: soul teen life and her family ' s legacy, the Church service of Nighttime.""]",teen,"['horror', 'sci-fi']",-0.4215,0
stargate sg1,"[""Stargate Command roars into action mechanism when Jack Group o ' Neill and his crew line up a Stargates map that lets them battle alien manoeuvre all across the galaxy.""]",adult,"['action', 'sci-fi']",-0.34,0
prospect,['A father and daughter travel to an outlander moon in search of a worthful gem just exist forced to alter their program when a nefarious malefactor convey involved.'],adult,"['sci-fi', 'thriller']",-0.4497,0
marvels agents of shield,"[""Broker Phil Coulson, examine in action in Marvel ' sulfur The Avengers, assembles a squad of top S. Total heat. I. E. Liter. D. agents to investigate bizarre threats.""]",teen,"['action', 'sci-fi']",-0.5106,0
100,"[""A century after Worldly concern was devastated by a nuclear apocalypse, c blank place residents are transmit to the planet to determine whether information technology ' s habitable.""]",adult,"['action', 'drama', 'sci-fi']",-0.6124,0
real steel,['A struggling attack aircraft - turn - plugger reconnects with his estranged word to convert an sometime - contemporaries robot into a mighty World Robot Boxing competition.'],teen,"['action', 'sci-fi']",-0.3182,1
cleverman,"['In the close future, physically powerful beings known as "" Hairies "" conflict to survive in a segregated society rule by hostile humans.']",adult,"['drama', 'sci-fi', 'thriller']",-0.2732,0
away,['Commander Emma Greenness leave behind her married man and girl to lead an international crew of astronaut on a perilous three - year mission to Mars.'],teen,"['drama', 'romance', 'sci-fi']",0.0,0
witcher a look inside the episodes,"['With serial publication lord Lauren S. Hissrich as your guide, take an in - profundity journeying into the account and themes powering the world class season of "" The Witcher. ""']",adult,"['documentary', 'sci-fi']",0.0,0
seventh son,"['In the eighteenth century, apprentice exorcist Gobbler Ward is the keystone in a battle between ripe and malevolent when imprisoned jinx Mother Malkin escapes.']",teen,"['action', 'sci-fi']",-0.8442,1
3,"['In a future where the elite inhabit an island paradise far from the herd slums, you buzz off single hazard to join the 3% deliver from squalor.']",adult,"['drama', 'sci-fi']",0.8807,0
legend of korra,['A distaff embodiment world health organization dismiss control the elements competitiveness to keep her urban center safe from the evil forces of both the physical and apparitional worlds.'],child,"['action', 'sci-fi']",-0.6369,1
mr peabody sherman,"['Revive from the sixties animated series "" Rocky and Bullwinkle, "" canine genius Mister. Peabody and new Sherman take a dizzying ride through with meter.']",child,"['comedy', 'sci-fi']",0.0,0
wizards tales of arcadia,"['Pigeon hawk ’ s learner link up Arcadia ’ south heroes on a time - bending dangerous undertaking in Camelot, where dispute is brew between the human, troll and witching worlds.']",child,"['action', 'sci-fi']",0.5106,0
umbrella academy,"[""Reunited by their father ' s end, alien siblings with extraordinary world power uncover shock family secrets – and a looming threat to world.""]",teen,"['action', 'sci-fi']",-0.8885,1
cursed,"['Armed with mysterious ability and a legendary sword, unseasoned maverick Nimue join force with becharm mercenary Chester alan arthur on a delegacy to save her people.']",adult,"['action', 'drama', 'sci-fi']",0.7506,0
warrior nun,"['After waking upwards in a morgue, an orphan teen discovers she directly possess superpowers as the elect Glory - Pallbearer for a mystical sect of demon - hunting nuns.']",adult,"['action', 'sci-fi']",0.0,0
total recall,"['After get a memory implant, mould unwavering Douglas Quaid discovers he might actually personify a secret agent embroiled in a fierce insurrection on Mars.']",adult,"['action', 'sci-fi']",-0.5994,0
roswell new mexico,"['After 10 years, a cleaning woman returns to her sleepy eyed tourer - occupied hometown and distinguish her high - school press is also an strange foreigner.']",teen,"['drama', 'sci-fi']",-0.1531,0
dcs legends of tomorrow,"['A secret "" meter master "" from the hereafter link an unbelievable group of superheroes and villains to save the world from a powerful evilness.']",teen,"['action', 'sci-fi']",-0.5859,0
witch part 1 the subversion,['The life of a seemingly ordinary gamey schooling student with a occult past is turn upside down when a chemical group of strangers show up and wreak mayhem.'],adult,"['action', 'sci-fi']",-0.5994,0
supergirl,"[""To avert a disaster, Kara Danvers break her big businessman and true identity operator: She be Superman ' sulfur cousin, directly known as Supergirl, protector of National City.""]",teen,"['action', 'sci-fi']",-0.4588,0
shera and the princesses of power,"['Soldier Adora observe a magical steel – and her identity as legendary cuban sandwich She - Ra. She joins the Rebellion, but her good friend outride with the evil Swarm.']",child,"['action', 'sci-fi']",0.7227,0
aerials,['Dubai residents struggle to figure out why a fleet of foreign spaceships comprise loom complete their metropolis when all contact with the outside world is cut off.'],teen,['sci-fi'],-0.5267,0
in paradox,"['On the run from assailants, a man desperately attempt to read control of his strange storage before they use up his liveliness — and saneness.']",teen,"['sci-fi', 'thriller']",-0.5267,0
good witch,"['Raise her girl in a small townspeople, an charm widow with charming powers provokes the interest and exasperation of a skeptical big - city md.']",child,"['drama', 'sci-fi']",-0.1531,0
last airbender,"[""In a world ravage by the Fire country ' s aggression toward the peaceful Melodic line, Urine and Earth land, a youthful boy bear the key to restoring peace.""]",child,"['action', 'sci-fi']",0.6486,1
dark light,"[""Implicated in her daughter ' s disappearance, a mother searches for resolution when she retrovert to an old kinsperson home that may hold an unwanted visitor.""]",adult,"['horror', 'sci-fi']",-0.2263,0
legacies,"['Max born into a rare supernatural pedigree, Hope Mikaelson wait on a gifted private school to master her world power and verify her innate urges for wickedness.']",teen,"['drama', 'sci-fi']",-0.3612,1
violet evergarden eternity and the auto memory doll,"[""A unfrequented young woman feels trammel at her all girl ' schooling. Just metal hands and heartfelt letters warm her heart when Violet become her tutor.""]",child,['sci-fi'],0.631,1
wildling,"['Circumscribe to an attic for years by a man claiming to be her protector, teenage Anna is set free and begin learn the eternal rest of her terrifying story.']",adult,"['horror', 'sci-fi']",-0.5719,0
3022,"['Stranded when the Earth be suddenly destroy in a mystic tragedy, the astronauts aboard a marooned space post easy lose their mind.']",adult,"['sci-fi', 'thriller']",-0.7003,0
lu over the wall,"[""Eye schooler Kai ' s depressing life in a ho hum fishing village changes drastically when a local mermaid cite Lu join his banding.""]",child,['sci-fi'],-0.5994,0
freaks,"['Hidden off by her eccentric father, a mysterious young girl uncovers scare truths when she starts to make contact with the remote populace.']",adult,"['sci-fi', 'thriller']",-0.1027,0
i am not okay with this,"['Angsty Syd navigates high school nuisance value, family dramatic event and an unanswered crush on her best friend while trying to rein in in her budding superpowers.']",adult,"['comedy', 'drama', 'sci-fi']",0.7269,1
dragonheart vengeance,"['When his kinsperson is slain by vicious savages, a young farmer teams with an ice - breathing flying dragon and steel - wield mercenary to revenge their deaths.']",teen,"['action', 'sci-fi']",-0.7096,1
car road to revenge,"['Trying to uphold justice in a outlaw futurity, a Vitamin d. A. is slain by cyberpunks but a supernatural whirl sends his car on a bloody pursuit for revenge.']",adult,"['action', 'horror', 'sci-fi']",-0.8047,1
omniscient,"['In a city where citizens are monitored xxiv / 7, a tech employee moldiness outsmart her surveillance drone in edict to look into a murder.']",adult,"['drama', 'sci-fi']",-0.6908,1
dreamworks how to train your dragon legends,"['In this set of shorts, Hiccup and the gang learn about dissimilar species of flying dragon. Then, Gobber goes in lookup of the Boneknapper Dragon.']",child,"['action', 'sci-fi']",0.0,0
handsome siblings,"['Clashing soldierly arts counterpart face relentless villains, thorny romanticism and brotherly competition as their troubled yesteryear catch upwards to them.']",teen,"['drama', 'sci-fi']",-0.6908,0
mindgamers,"['Brilliant youthful students discover a discovery that could change human race, but presently find themselves the subjects of a much bigger experiment.']",adult,"['sci-fi', 'thriller']",0.34,0
jimmy neutron boy genius,"[""When gooey greenish aliens kidnap all the adults in Retroville, it ' s up to eleven - year - old Jimmy Neutron to come upward with a architectural plan to deliver them.""]",child,"['comedy', 'sci-fi']",0.5106,0
pans labyrinth,['Whitney young Ofelia meets a mythologic faun who lay claim she is destined to get princess of the Infernal region. But first she must pack out three perilous tasks.'],adult,"['drama', 'sci-fi']",0.0,0
doom annihilation,"['When a swarm of somebody - steal demons invades a Martian moon, a radical of elite distance Marine must obliterate the fauna to save Earth.']",adult,"['action', 'horror', 'sci-fi']",-0.1779,1
sweetheart,['A woman shipwrecked on a outback island discovers she ’ s not exclusively and lead off a conflict for natural selection against a deadly presence that emerges each night.'],teen,"['horror', 'sci-fi', 'thriller']",-0.2168,1
lost in space,"[""After smash - landing place on an alien planet, the Edward g. robinson class fights against all odds to live on and escape. But they ' re border by obscure peril.""]",child,"['action', 'drama', 'sci-fi']",-0.7003,1
nightflyers,"[""With humankind ' s future at post, a group of scientists and a muscular telepath venture into the null aboard a spaceship total of secrets.""]",adult,"['horror', 'sci-fi']",0.4404,0
once upon a time in lingjian mountain,"['As the nine continent face a crisis, a unseasoned disciple join the Tone Brand religious sect and comes nether the tutelage of a temperamental sage.']",teen,"['comedy', 'sci-fi']",-0.5267,0
dragon prince,['An extraordinary find enliven two human prince and an elven bravo to team up up on an epic seeking to bring peace to their warring lands.'],child,"['action', 'sci-fi']",0.5423,1
in the shadow of the moon,['A Philadelphia detective slowly unravels as he nurses a lifelong compulsion with an oracular female sequential slayer whose crimes defy account.'],adult,"['drama', 'sci-fi', 'thriller']",-0.7717,1
sturgill simpson presents sound fury,"['In this anime ocular record album, a orphic driver head deep into a postapocalyptic hellscape toward a ferocious showdown with two grotesque opponents.']",adult,['sci-fi'],-0.1027,1
iland,"['Wiped clean of memories and thrown together, a group of strangers agitate to survive coarse reality – and the island that traps them.']",adult,"['action', 'drama', 'sci-fi']",-0.4215,1
dark crystal age of resistance,"['As power - hungry master debilitate life from the planet Thra, a chemical group of brave Gelfling unite on a quest to salve their world and campaign off the darkness.']",child,"['action', 'drama', 'sci-fi']",0.4588,1
invader zim enter the florpus,"['When Zim reappears to get the side by side form of his malign foreigner architectural plan to conquer Earth, his bane Dib Membrane sets out to uncloak him once and for all.']",child,"['comedy', 'sci-fi']",-0.6597,0
selfless,"[""A die tycoon has his awareness graft into the body of a healthy unseasoned valet de chambre, only when to make a troubling discovery about the body ' s origin.""]",teen,"['sci-fi', 'thriller']",-0.2023,0
wu assassins,['An retiring San Francisco chef becomes the latest in a retentive line of assassins chosen to keep the mystic Wu power out of the improper workforce.'],adult,"['action', 'sci-fi']",-0.4767,0
3below tales of arcadia,"['After clangoring - landing on Earth, two royal stag teen aliens on the run struggle to blend in with humans as they evade intergalactic premium hunters.']",child,"['action', 'sci-fi']",-0.3182,0
pili fantasy war of dragons,"['As tumult tower in the Martial Human beings, and the Eight Wonders of the Immorality Draco unleashes dark forces, who will emerge as the raw warrior fable?']",teen,"['action', 'sci-fi']",-0.8176,1
stranger things,"['When a young son vanishes, a small townsfolk uncovers a mystery involving secret experimentation, terrify supernatural forces and one unusual little girl.']",teen,"['horror', 'sci-fi']",-0.6705,0
la leyenda del diamante,"['When a hired gun - add up freedom fighter try to rescue her kidnapped sister, she finds herself up against a wide feared desperado and a cursed defender of treasure.']",adult,"['action', 'sci-fi']",0.1779,1
motown magic,"['Inventive boy Ben transforms his metropolis by bringing colorful street artistic production to life, armed with a magic paintbrush – and the classic sound of Motown.']",child,['sci-fi'],0.0,0
i am mother,"[""Following humankind ' s mass extinction, a teenaged raised alone by a maternal droid observe her entire earth shaken when she run across another human.""]",child,"['sci-fi', 'thriller']",-0.3182,0
cosmos laundromat first cycle,"['Despondent on a desolate island, a self destructive sheep be thrown a lifeline by a quirky salesman, world health organization offers him the giving of a lifetime.']",adult,"['drama', 'sci-fi']",-0.6908,0
silent,"['"" Silent "" is an animated short photographic film make by Academy Award ® win Moonbot Studio. Information technology observe how storyteller, inventors, and technology oeuvre together to create cinema magic.']",child,['sci-fi'],0.8807,1
rim of the world,"['Strand at a summertime pack when aliens attack the satellite, quartet teens with nothing in coarse embark on a parlous mission to save the humanity.']",teen,"['action', 'sci-fi']",0.0258,1
see you yesterday,"['As two teen prodigies stress to master the fine art of time travelling, a tragical police shoot get off them on a serial of life threatening trips to the past.']",adult,"['drama', 'sci-fi', 'thriller']",-0.7269,1
unchained fate,"['A young iii aims to protect the world from evil, arm with magic crystal that allow them to insure prison term, commune with spirits, and more than.']",teen,"['drama', 'sci-fi']",-0.2263,0
wandering earth,"[""A looming collision with Jupiter endanger Earth as human race search for a newfangled star. The planet ' s fate now lie in in the hands of a few unexpected hero.""]",adult,['sci-fi'],-0.6249,0
ko3an guo,"['In the Silver Proportion, Liu Bei, Guan Yu and Zhang Fei plan to inscribe in an elect honorary society as sworn brothers, only KO One visitant jump the plan.']",teen,"['comedy', 'sci-fi']",-0.4215,0
rainbow jelly,"['Mistreated by his cruel uncle, an imaginative orphan with autism sees desire when a fag vow to change his life with a week of enchanted recipe.']",teen,"['drama', 'sci-fi']",0.1779,0
alien warfare,['The Uranium. S. Navy Seal of approval team tackles a top - secret mission at a enquiry centre where scientists ingest mysteriously disappear and another lifespan form awaits.'],adult,"['action', 'sci-fi']",-0.1531,0
love o2o,['A college macho man tries to level up his relationship with a information processing system science major after become pull in to her acquirement in an on line purpose - playing game.'],teen,"['romance', 'sci-fi']",0.4215,1
mirage,"[""A outer space - prison term continuum bug earmark Vera to save a male child ' s biography 25 years earlier, but results in the loss of her daughter, whom she crusade to cause backwards.""]",adult,"['drama', 'sci-fi']",-0.6597,1
oa,"['Septenary year after disappear from her home, a vernal woman returns with mysterious new abilities and recruit five strangers for a secret mission.']",adult,"['drama', 'sci-fi']",0.25,0
land of hypocrisy,['A hardworking humankind in a unthankful occupation meet a inscrutable doctor who sell him powerful pills that throw his life into disarray.'],teen,"['comedy', 'sci-fi']",0.4215,0
awe,"['Disparate character, include an wishful clip traveller, a phony chef, a drug - addicted waitress and various others, share a surprising connection.']",adult,"['drama', 'sci-fi']",0.5106,0
await further instructions,"['A family ’ s tense reunion turns terrorise when they baffle pin down in their home by an unknown force play, and sinister commands start appear on their TV.']",adult,"['horror', 'sci-fi']",-0.9246,0
