norm_title,description,sentiment_score,violence_flag,genres,audience_group
dick johnson is dead,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",-0.296,1,"('documentary',)",
sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",-0.7845,1,"('drama',)",
europes most dangerous man otto skorzeny in spain,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",0.0,0,"('documentary',)",
jaguar,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",0.6369,0,"('action',)",
avvai shanmughi,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",-0.5994,0,"('comedy',)",
sex education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",-0.2006,0,"('comedy',)",
stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",-0.1154,0,"('action', 'drama')",
jaws 3,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",0.6249,1,"('action', 'horror', 'thriller')",
castle and castle,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",0.9136,0,"('drama',)",
dharmakshetra,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",0.4588,1,"('drama', 'sci-fi')",
inuyasha the movie 4 fire on the mystic island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",0.4019,0,"('action',)",
naruto shippûden the movie the will of fire,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",0.296,0,"('action',)",
naruto the movie 3 guardians of the crescent moon kingdom,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",0.5859,0,"('action',)",
raja rasoi aur anya kahaniyan,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",0.0,0,"('documentary',)",
lucifer,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",-0.9022,0,"('comedy', 'drama')",
women and the murderer,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,-0.6486,1,"('documentary',)",
jje,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",0.9081,0,"('drama', 'romance')",
show dogs,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,-0.2263,0,"('comedy',)",
kid cosmic,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,0.6966,0,"('comedy', 'sci-fi')",
shadow parties,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,-0.836,1,"('drama', 'thriller')",
champion heart,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",-0.4215,0,"('drama',)",
money heist from tokyo to berlin,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",0.4767,0,"('documentary',)",
afterlife of the party,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,-0.7184,0,"('comedy', 'romance')",
dhanak,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,0.0,0,"('comedy', 'drama')",
shikara,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,0.0516,0,"('drama', 'romance')",
chappie,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",-0.2263,1,"('action', 'sci-fi')",
cliffhanger,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",0.5106,0,"('action',)",
crocodile dundee in los angeles,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",0.4357,0,"('action', 'comedy')",
el patrón radiografía de un crimen,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,-0.7506,0,"('drama', 'thriller')",
house party,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",-0.0258,0,"('comedy',)",
love in a puff,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",-0.5574,0,"('comedy', 'drama')",
major dad,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",-0.296,0,"('comedy',)",
marshall,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",0.7906,0,"('drama',)",
poseidon,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",-0.7717,0,"('action', 'drama')",
golden child,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,-0.5574,1,"('action', 'comedy')",
guns of navarone,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",-0.8519,1,"('action',)",
nutty professor ii the klumps,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.",-0.8074,0,"('comedy', 'romance')",
